school sex age address famsize Pstatus Medu Fedu Mjob Fjob reason guardian traveltime studytime failures schoolsup famsup paid activities nursery higher internet romantic famrel freetime goout Dalc Walc health absences FailHigh alcSudyTime parentsEdu G1 G2 G3 GC1 GC2 GC3
GP F 18 U GT3 A 4 4 at_home teacher course mother 2 2 0 yes no no no yes yes no no 4 3 4 1 1 3 4 3,16494845360825 2,50375939849624 3,04123711340206 0 0,55 0,55 fail sufficient sufficient
GP F 17 R LE3 T 1 1 at_home other course mother 2 3 0 no no no yes yes yes yes no 4 3 3 1 3 5 4 2,44329896907217 3,50125313283208 4,36082474226804 0,75 0,7 0,75 good satisfactory good
GP F 17 U LE3 A 4 2 teacher other course mother 1 2 0 no yes no yes yes yes no no 4 3 2 1 1 4 4 1,72164948453608 2,50375939849624 3,43041237113402 0,75 0,7 0,7 good satisfactory satisfactory
GP M 17 U LE3 T 4 3 health other course mother 2 2 0 no no no yes yes yes yes yes 2 5 5 1 4 5 8 3,88659793814433 6,00501253132832 4,72164948453608 0,75 0,75 0,75 good good good
GP M 17 R LE3 A 4 4 teacher other course mother 2 2 0 no yes no no yes yes yes no 3 3 3 2 3 4 0 2,72164948453608 1,49624060150376 3,68041237113402 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP M 16 U LE3 T 4 3 teacher other course mother 1 1 0 no no no yes no yes yes no 5 4 5 1 1 3 7 3,88659793814433 4,00751879699248 3,22164948453608 0,7 0,7 0,75 satisfactory satisfactory good
GP M 16 U GT3 T 4 4 services services course mother 1 1 0 no no yes yes yes yes yes no 5 3 2 1 2 5 4 1,72164948453608 3,00250626566416 4,18041237113402 0,7 0,75 0,75 satisfactory good good
GP F 17 U GT3 T 4 4 teacher services course mother 1 2 0 no yes yes no yes yes yes yes 5 3 1 1 4 5 2 1 2,99749373433584 4 0,55 0,55 0,6 sufficient sufficient satisfactory
GP M 17 R GT3 T 1 1 other other home father 2 3 0 no no no no no yes yes yes 4 3 3 1 1 1 2 2,44329896907217 1,50125313283208 1,36082474226804 0,65 0,7 0,75 satisfactory satisfactory good
GP F 17 U GT3 T 3 3 services other home mother 2 3 0 no yes no no yes yes yes yes 4 2 2 2 3 5 10 2 6,50877192982456 4,25 0,55 0,55 0,55 sufficient sufficient sufficient
GP F 17 U GT3 T 1 1 at_home other course mother 1 2 0 yes no no no no yes no yes 4 3 2 1 1 4 10 1,72164948453608 5,51127819548872 3,43041237113402 0,5 0,45 0,5 fail fail fail
GP F 18 U GT3 T 2 1 other other course other 2 3 0 no yes no no no yes yes yes 4 4 4 1 1 3 10 3,16494845360825 5,51127819548872 3,04123711340206 0,6 0,5 0,55 satisfactory fail sufficient
GP M 16 U GT3 T 2 1 other other course mother 3 1 0 no no no no yes yes yes no 4 3 3 1 1 4 7 2,44329896907217 4,00751879699248 3,61082474226804 0,75 0,8 0,8 good good good
GP F 17 U GT3 T 1 1 other services course father 1 2 0 no yes no no yes yes no no 4 3 4 1 2 5 4 3,16494845360825 3,00250626566416 4,54123711340206 0,55 0,5 0,55 sufficient fail sufficient
GP M 17 U GT3 T 2 3 other other course father 2 1 0 no no no no yes yes yes no 5 2 2 1 1 2 2 1,72164948453608 1,50125313283208 1,93041237113402 0,45 0,6 0,65 fail satisfactory satisfactory
GP M 22 U GT3 T 3 1 services services other mother 1 1 3 no no no no no no yes yes 5 4 5 5 5 1 12 5 8,50877192982456 2 0,35 0,4 0,25 fail fail fail
GP M 18 R LE3 T 3 3 other services course mother 1 2 0 no yes no no yes yes yes yes 4 3 3 1 3 5 8 2,44329896907217 5,5062656641604 4,36082474226804 0,5 0,45 0,5 fail fail fail
GP M 16 U GT3 T 0 2 other other other mother 1 1 0 no no no no no yes yes no 4 3 2 2 4 5 0 2 1,99498746867168 4,25 0,55 0,6 0,55 sufficient satisfactory sufficient
GP M 18 U GT3 T 3 2 services other course mother 2 1 0 no no no no yes no yes no 4 4 5 2 4 5 8 4,16494845360825 6,00501253132832 4,79123711340206 0,35 0,4 0,35 fail fail fail
GP M 16 U GT3 T 3 3 at_home other reputation other 3 2 1 yes yes no no no yes yes no 5 3 3 1 3 2 4 2,44329896907217 3,50125313283208 2,11082474226804 0,45 0,55 0,5 fail sufficient fail
GP M 18 U GT3 T 2 1 services services other mother 1 1 2 no no no no no no yes no 3 2 5 2 5 5 4 4,16494845360825 4,49874686716792 4,79123711340206 0,35 0,4 0,3 fail fail fail
GP M 16 R GT3 T 2 1 other other course mother 2 1 0 no no no yes no yes no no 3 3 2 1 3 3 2 1,72164948453608 2,49874686716792 2,68041237113402 0,7 0,65 0,6 satisfactory satisfactory satisfactory
GP M 17 R GT3 T 2 1 other other course mother 1 1 0 no no no no no yes yes no 4 4 2 2 4 5 0 2 1,99498746867168 4,25 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP M 17 U LE3 T 1 1 health other course mother 2 1 1 no yes no yes yes yes yes no 4 4 4 1 2 5 0 3,16494845360825 0,99749373433584 4,54123711340206 0,45 0,5 0,5 fail fail fail
GP F 18 U LE3 A 2 1 other other course mother 1 2 0 no yes no no no yes yes yes 4 3 4 1 3 5 2 3,16494845360825 2,49874686716792 4,54123711340206 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U LE3 T 4 2 teacher services reputation mother 1 4 0 no yes no yes yes yes yes no 4 2 3 1 1 4 2 2,44329896907217 1,50125313283208 3,61082474226804 0,7 0,75 0,85 satisfactory good good
GP F 19 U GT3 T 2 2 services services home mother 1 2 0 no yes no no yes yes yes no 4 3 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,5 0,5 0,55 fail fail sufficient
GP M 18 U LE3 T 2 1 services other course mother 3 2 1 no no no yes no no yes no 4 4 5 4 4 5 4 4,72164948453608 4 4,93041237113402 0,55 0,5 0,55 sufficient fail sufficient
GP F 17 R GT3 T 4 2 other other course mother 1 3 0 no yes no yes yes yes yes no 4 3 4 1 3 5 2 3,16494845360825 2,49874686716792 4,54123711340206 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP F 18 U LE3 T 1 1 other at_home home mother 1 3 0 no yes no no no yes no no 4 4 3 2 3 3 4 2,72164948453608 3,50125313283208 2,93041237113402 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP F 18 R GT3 T 2 2 other other home mother 1 2 0 yes no no no yes yes no no 3 2 3 1 1 5 4 2,44329896907217 2,50375939849624 4,36082474226804 0,55 0,55 0,65 sufficient sufficient satisfactory
GP M 19 U LE3 A 4 3 services at_home reputation mother 1 2 0 no yes no no yes yes yes no 4 3 1 1 1 1 4 1 2,50375939849624 1 0,55 0,65 0,7 sufficient satisfactory satisfactory
GP M 18 U GT3 T 2 1 other other home mother 1 2 0 no no no yes yes yes yes no 5 2 4 1 2 4 2 3,16494845360825 2 3,79123711340206 0,8 0,8 0,8 good good good
GP M 17 R GT3 T 2 2 other services other mother 2 1 0 no no no no no no no no 5 2 2 1 1 4 0 1,72164948453608 0,49874686716792 3,43041237113402 0,45 0,5 0,5 fail fail fail
GP F 17 U LE3 T 2 2 services services course father 1 4 0 no no no yes yes yes yes yes 3 4 1 1 1 2 2 1 1,50125313283208 1,75 0,5 0,55 0,6 fail sufficient satisfactory
GP F 20 R GT3 T 2 1 other other course other 2 2 0 no yes yes yes yes no yes yes 1 2 3 1 2 2 8 2,44329896907217 5,00751879699248 2,11082474226804 0,5 0,6 0,6 fail satisfactory satisfactory
GP F 18 U GT3 T 4 3 services other home father 1 2 0 no yes no no yes yes yes yes 3 1 2 1 3 2 2 1,72164948453608 2,49874686716792 1,93041237113402 0,75 0,75 0,75 good good good
GP M 18 U GT3 T 4 3 teacher other course mother 1 2 0 no yes no no no yes yes no 4 3 2 1 1 3 2 1,72164948453608 1,50125313283208 2,68041237113402 0,5 0,5 0,55 fail fail sufficient
GP M 18 R GT3 T 3 2 other other course mother 1 3 0 no no no yes no yes no no 5 3 2 1 1 3 2 1,72164948453608 1,50125313283208 2,68041237113402 0,5 0,55 0,6 fail sufficient satisfactory
GP F 17 U GT3 T 3 3 other other home mother 1 3 0 no no no yes no yes no no 3 2 3 1 1 4 2 2,44329896907217 1,50125313283208 3,61082474226804 0,75 0,6 0,65 good satisfactory satisfactory
GP F 18 U GT3 T 2 2 at_home services home mother 1 3 0 no yes no yes yes yes yes yes 4 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,55 0,6 0,65 sufficient satisfactory satisfactory
GP M 17 U GT3 T 2 2 other other home father 2 1 0 no no no no yes no yes no 4 4 4 2 3 4 8 3,44329896907217 5,5062656641604 3,86082474226804 0,4 0,4 0,45 fail fail fail
GP M 18 R LE3 A 3 4 other other reputation mother 2 2 0 no yes no yes yes yes yes no 4 2 5 3 4 1 6 4,44329896907217 5,00250626566416 1,86082474226804 0,75 0,8 0,8 good good good
GP M 17 U GT3 T 3 1 services other other mother 1 2 0 no no no yes yes yes yes yes 5 4 4 3 4 5 0 3,72164948453608 1,99498746867168 4,68041237113402 0,55 0,55 0,7 sufficient sufficient satisfactory
GP F 18 R GT3 T 4 4 teacher other reputation mother 2 2 0 no no no yes yes yes yes no 4 3 4 2 2 4 8 3,44329896907217 5,00751879699248 3,86082474226804 0,5 0,55 0,6 fail sufficient satisfactory
GP M 18 U GT3 T 4 2 health other reputation father 1 2 0 no yes no yes yes yes yes yes 5 4 5 1 3 5 4 3,88659793814433 3,50125313283208 4,72164948453608 0,5 0,6 0,7 fail satisfactory satisfactory
GP F 18 R GT3 T 2 1 other other reputation mother 2 2 0 no yes no no yes no yes yes 4 3 5 1 2 3 12 3,88659793814433 7,0125313283208 3,22164948453608 0,4 0,45 0,5 fail fail fail
GP F 19 U GT3 T 3 3 other services home other 1 2 0 no yes no yes yes yes yes no 4 3 5 3 3 5 16 4,44329896907217 9,51629072681704 4,86082474226804 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 18 U GT3 T 2 3 other services reputation father 1 4 0 no yes no yes yes yes yes yes 4 5 5 1 3 2 10 3,88659793814433 6,50877192982456 2,47164948453608 0,8 0,8 0,8 good good good
GP F 18 U LE3 T 1 1 other other home mother 2 2 0 no yes no no no yes no no 4 4 3 1 1 3 2 2,44329896907217 1,50125313283208 2,86082474226804 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP M 17 R GT3 T 1 2 at_home at_home home mother 1 2 0 no yes no yes no yes no yes 3 5 2 2 2 1 2 2 2 1,25 0,8 0,85 0,9 good good good
GP F 18 U GT3 T 2 1 other other home mother 1 2 0 no yes no no yes yes yes yes 4 2 5 1 2 1 8 3,88659793814433 5,00751879699248 1,72164948453608 0,7 0,7 0,75 satisfactory satisfactory good
GP F 17 U GT3 T 2 4 at_home health reputation mother 2 2 0 no yes no no yes yes yes yes 4 3 3 1 1 1 6 2,44329896907217 3,5062656641604 1,36082474226804 0,75 0,8 0,8 good good good
GP F 17 U LE3 T 2 2 services other course mother 2 2 0 yes yes no no yes yes yes yes 4 4 4 2 3 5 6 3,44329896907217 4,50375939849624 4,61082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP F 18 R GT3 A 3 2 other services home mother 2 2 0 no no no no no no yes yes 4 1 1 1 1 5 15 1 8,01754385964912 4 0,6 0,45 0,5 satisfactory fail fail
GP M 18 U GT3 T 4 4 teacher services home mother 2 1 0 no no no yes yes yes yes no 3 2 4 1 4 3 6 3,16494845360825 5,00250626566416 3,04123711340206 0,55 0,6 0,6 sufficient satisfactory satisfactory
GP F 18 U GT3 T 4 4 health health reputation father 1 2 1 yes yes no yes yes yes yes yes 2 4 4 1 1 4 2 3,16494845360825 1,50125313283208 3,79123711340206 0,7 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 2 2 other services reputation father 3 3 0 no yes no no yes yes yes yes 4 2 3 1 1 1 8 2,44329896907217 4,50877192982456 1,36082474226804 0,65 0,75 0,75 satisfactory good good
GP F 19 R GT3 T 3 2 services services reputation father 1 2 1 yes yes no no yes no yes no 3 3 3 4 3 3 0 3,27835051546392 1,49624060150376 3,06958762886598 0,45 0,4 0,5 fail fail fail
GP M 18 U LE3 T 4 3 teacher services course mother 2 1 0 no no no yes yes yes yes no 4 2 3 1 2 1 0 2,44329896907217 0,99749373433584 1,36082474226804 0,5 0,5 0,5 fail fail fail
GP M 18 U GT3 T 1 2 at_home other home other 2 1 0 no no no no no no yes no 3 4 4 2 4 4 10 3,44329896907217 7,00751879699248 3,86082474226804 0,5 0,5 0,55 fail fail sufficient
GP M 17 U LE3 A 4 1 services other home mother 2 1 0 no no no yes yes yes yes yes 4 5 4 2 4 5 22 3,44329896907217 13,0225563909774 4,61082474226804 0,55 0,55 0,5 sufficient sufficient fail
GP M 17 U LE3 A 3 2 teacher services home mother 1 1 0 no no no no yes yes yes no 4 4 4 3 4 3 18 3,72164948453608 11,0175438596491 3,18041237113402 0,65 0,65 0,65 satisfactory satisfactory satisfactory
GP F 18 R LE3 T 1 1 at_home other reputation mother 2 4 0 no yes no yes yes yes no no 5 2 2 1 1 3 2 1,72164948453608 1,50125313283208 2,68041237113402 0,85 0,85 0,9 good good good
GP F 18 U GT3 T 1 1 other other home mother 2 2 0 yes no no yes yes yes yes no 5 4 4 1 1 4 0 3,16494845360825 0,49874686716792 3,79123711340206 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 2 2 other other course mother 1 2 0 no yes no no no yes yes no 5 4 5 1 2 5 12 3,88659793814433 7,0125313283208 4,72164948453608 0,6 0,6 0,7 satisfactory satisfactory satisfactory
GP F 18 U GT3 T 2 1 other other reputation mother 2 2 0 no no no yes yes yes yes yes 4 3 1 1 1 5 10 1 5,51127819548872 4 0,6 0,65 0,7 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 1 1 other other reputation father 1 2 0 no no no no no yes yes no 4 3 3 1 2 4 0 2,44329896907217 0,99749373433584 3,61082474226804 0,6 0,6 0,6 satisfactory satisfactory satisfactory
GP F 18 U GT3 T 2 2 at_home at_home other mother 1 3 0 no yes no no yes yes yes no 4 3 3 1 2 2 0 2,44329896907217 0,99749373433584 2,11082474226804 0,9 0,9 0,9 good good good
GP F 17 U GT3 T 1 1 services teacher reputation mother 1 3 0 no yes no no yes yes yes no 4 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,65 0,65 0,7 satisfactory satisfactory satisfactory
GP M 18 U GT3 T 2 1 services services reputation mother 1 3 0 no no no yes yes yes yes no 4 2 4 1 3 2 0 3,16494845360825 1,49624060150376 2,29123711340206 0,7 0,75 0,75 satisfactory good good
GP M 18 U LE3 A 4 4 teacher teacher reputation mother 1 2 0 no yes no yes yes yes yes no 5 4 3 1 1 2 0 2,44329896907217 0,49874686716792 2,11082474226804 0,85 0,85 0,85 good good good
GP M 18 U GT3 T 4 2 teacher other home mother 1 2 0 no yes no yes yes yes yes yes 4 3 2 1 4 5 2 1,72164948453608 2,99749373433584 4,18041237113402 0,75 0,8 0,8 good good good
GP F 17 U GT3 T 4 3 health services reputation mother 1 3 0 no yes no no yes yes yes no 4 2 2 1 2 3 0 1,72164948453608 0,99749373433584 2,68041237113402 0,85 0,9 0,9 good good good
GP F 17 R LE3 T 3 1 services other reputation mother 2 4 0 no yes no no yes yes no no 3 1 2 1 1 3 0 1,72164948453608 0,49874686716792 2,68041237113402 0,9 0,95 0,95 good V.good V.good
GP M 18 R LE3 T 3 2 services other reputation mother 2 3 0 no yes no yes yes yes yes no 5 4 2 1 1 4 0 1,72164948453608 0,49874686716792 3,43041237113402 0,7 0,75 0,75 satisfactory good good
GP M 17 U GT3 T 3 3 health other home mother 1 1 0 no yes no no yes yes yes no 4 4 3 1 3 5 0 2,44329896907217 1,49624060150376 4,36082474226804 0,7 0,75 0,75 satisfactory good good
GP F 19 U GT3 T 4 4 health other reputation other 2 2 0 no yes no yes yes yes yes no 2 3 4 2 3 2 2 3,44329896907217 2,49874686716792 2,36082474226804 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 18 U LE3 T 4 3 other other home other 2 2 0 no yes no no yes yes yes yes 4 4 5 1 2 2 0 3,88659793814433 0,99749373433584 2,47164948453608 0,65 0,7 0,7 satisfactory satisfactory satisfactory
GP F 18 U GT3 T 4 3 other other reputation father 1 4 0 no yes no no yes yes yes no 4 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,8 0,85 0,85 good good good
GP M 18 U LE3 T 4 4 teacher teacher home mother 1 1 0 no yes no no yes yes yes yes 1 4 2 2 2 1 0 2 0,99749373433584 1,25 0,9 0,9 0,85 good good good
GP F 18 U LE3 A 4 4 health other home mother 1 2 0 no yes yes no yes yes yes yes 4 2 4 1 1 4 0 3,16494845360825 0,49874686716792 3,79123711340206 0,7 0,75 0,75 satisfactory good good
GP M 17 U LE3 T 4 4 other teacher home father 2 1 0 no no no no yes yes yes no 4 1 1 2 2 5 0 1,27835051546392 0,99749373433584 4,06958762886598 0,6 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 R GT3 T 4 4 services services reputation mother 2 3 0 no yes no yes yes yes yes no 5 3 4 1 1 5 0 3,16494845360825 0,49874686716792 4,54123711340206 0,35 0,35 0,4 fail fail fail
GP F 17 U GT3 T 4 2 other other reputation mother 2 3 0 no yes no no yes yes yes no 4 3 3 1 1 3 0 2,44329896907217 0,49874686716792 2,86082474226804 0,8 0,8 0,8 good good good
GP F 17 U GT3 T 3 2 health health reputation father 1 4 0 no yes no yes no yes yes no 5 2 2 1 2 5 0 1,72164948453608 0,99749373433584 4,18041237113402 0,9 0,9 0,9 good good good
GP M 19 R LE3 T 2 1 at_home services course mother 2 3 1 no no no yes yes yes yes yes 4 3 1 1 1 5 0 1 0,49874686716792 4 0,45 0,5 0,55 fail fail sufficient
GP M 20 U GT3 A 3 2 services other course other 1 1 2 no no no yes yes yes no no 5 5 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,7 0,75 0,75 satisfactory good good
GP M 19 R GT3 T 3 3 other services reputation father 1 2 0 no no no yes yes yes no yes 4 5 3 1 2 5 0 2,44329896907217 0,99749373433584 4,36082474226804 0,5 0,5 0,55 fail fail sufficient
GP F 18 U GT3 T 1 4 other teacher home mother 1 2 0 yes yes no no no yes no yes 3 4 4 1 2 5 2 3,16494845360825 2 4,54123711340206 0,5 0,5 0,55 fail fail sufficient
GP F 18 U GT3 T 2 1 services other course mother 2 2 0 no yes no yes yes yes yes no 5 3 3 1 2 1 2 2,44329896907217 2 1,36082474226804 0,6 0,6 0,75 satisfactory satisfactory good
GP F 17 U GT3 T 2 3 other other course father 2 2 0 no no no yes yes yes yes yes 4 2 1 1 1 3 2 1 1,50125313283208 2,5 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP F 17 R GT3 T 4 4 teacher teacher course mother 1 1 0 no no no yes yes yes yes no 4 4 4 1 1 5 2 3,16494845360825 1,50125313283208 4,54123711340206 0,75 0,8 0,85 good good good
GP F 18 U GT3 T 4 3 other other course mother 1 3 0 no yes no yes yes yes yes yes 4 3 4 1 1 5 2 3,16494845360825 1,50125313283208 4,54123711340206 0,7 0,75 0,85 satisfactory good good
GP F 18 U LE3 T 4 3 health services course mother 2 1 0 no yes no no yes yes yes no 3 2 4 1 4 1 8 3,16494845360825 6,00501253132832 1,54123711340206 0,6 0,6 0,75 satisfactory satisfactory good
GP F 17 R GT3 T 3 4 at_home services course father 1 3 0 no yes no yes no yes yes no 4 3 4 2 5 5 2 3,44329896907217 3,49624060150376 4,61082474226804 0,75 0,75 0,85 good good good
GP F 18 U GT3 T 3 3 at_home other course father 1 2 0 no yes no no yes yes yes no 4 1 4 1 1 3 8 3,16494845360825 4,50877192982456 3,04123711340206 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP M 19 U GT3 T 4 2 health other course mother 2 2 0 no yes no yes yes yes yes yes 5 4 4 1 1 1 9 3,16494845360825 5,01002506265664 1,54123711340206 0,55 0,5 0,5 sufficient fail fail
GP F 18 U GT3 T 4 4 teacher other course mother 1 2 0 no yes no no yes yes yes no 4 4 4 3 3 5 0 3,72164948453608 1,49624060150376 4,68041237113402 0,6 0,55 0,65 satisfactory sufficient satisfactory
GP F 18 U GT3 T 3 4 other other course mother 1 1 0 no yes no yes yes yes yes yes 5 4 4 1 1 1 4 3,16494845360825 2,50375939849624 1,54123711340206 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP F 17 U GT3 T 4 4 health health course mother 1 1 0 no no no yes yes yes yes no 5 3 4 1 2 5 2 3,16494845360825 2 4,54123711340206 0,7 0,75 0,85 satisfactory good good
GP F 17 U GT3 A 4 3 services services course mother 1 2 0 no yes no no yes yes yes yes 5 2 2 1 2 5 14 1,72164948453608 8,01503759398496 4,18041237113402 0,75 0,7 0,85 good satisfactory good
GP F 17 U LE3 A 3 3 services other home mother 1 2 0 yes yes no no yes yes yes no 5 3 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U LE3 T 2 1 other other home father 1 2 0 no no no yes yes yes yes no 4 2 3 2 2 2 2 2,72164948453608 2 2,18041237113402 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP M 18 U LE3 T 4 4 other other reputation father 1 1 0 no yes no no yes yes yes no 4 2 5 3 4 5 2 4,44329896907217 2,99749373433584 4,86082474226804 0,4 0,45 0,55 fail fail sufficient
GP F 19 U GT3 T 1 1 other other course other 3 3 0 no no no yes yes no no yes 1 5 5 4 3 5 12 4,72164948453608 7,51127819548872 4,93041237113402 0,5 0,5 0,55 fail fail sufficient
GP F 19 U LE3 A 1 1 other other course other 3 2 2 no yes no no no yes yes yes 5 3 4 1 1 4 2 3,16494845360825 1,50125313283208 3,79123711340206 0,4 0,4 0,45 fail fail fail
GP F 18 U GT3 T 2 2 other other course mother 1 1 0 no yes no yes yes yes yes yes 4 3 5 2 4 5 2 4,16494845360825 2,99749373433584 4,79123711340206 0,5 0,5 0,5 fail fail fail
GP F 17 U GT3 T 2 2 other other course mother 1 2 0 no yes no no yes yes no yes 4 2 2 1 1 3 4 1,72164948453608 2,50375939849624 2,68041237113402 0,7 0,65 0,65 satisfactory satisfactory satisfactory
GP F 17 R LE3 T 2 2 services services course mother 1 3 0 no yes no yes yes yes yes no 3 3 2 2 2 3 0 2 0,99749373433584 2,75 0,55 0,55 0,5 sufficient sufficient fail
GP F 17 U GT3 T 3 1 services services course father 1 3 0 no yes no no no yes yes no 3 4 3 2 3 5 0 2,72164948453608 1,49624060150376 4,43041237113402 0,85 0,9 0,85 good good good
GP F 17 U LE3 T 0 2 at_home at_home home father 2 3 0 no no no no yes yes yes no 3 3 3 2 3 2 0 2,72164948453608 1,49624060150376 2,18041237113402 0,7 0,7 0,75 satisfactory satisfactory good
GP F 18 U GT3 T 1 1 other other home mother 2 3 0 no no no yes yes yes yes no 4 5 5 1 2 2 0 3,88659793814433 0,99749373433584 2,47164948453608 0,7 0,7 0,7 satisfactory satisfactory satisfactory
GP M 18 U GT3 T 4 4 other other course mother 1 3 0 no no no yes yes yes yes no 4 3 3 2 2 3 0 2,72164948453608 0,99749373433584 2,93041237113402 0,65 0,7 0,65 satisfactory satisfactory satisfactory
GP M 17 U GT3 T 3 3 other services reputation mother 1 1 0 no no no yes no yes yes no 4 3 5 3 5 5 0 4,44329896907217 2,4937343358396 4,86082474226804 0,85 0,9 0,85 good good good
GP M 17 R GT3 T 2 2 services other course mother 4 1 0 no yes no no yes yes yes no 4 4 5 5 5 4 2 5 3,49624060150376 4,25 0,55 0,5 0,5 sufficient fail fail
GP F 17 U GT3 T 4 4 teacher services course mother 1 3 0 no yes no yes yes yes yes no 5 4 4 1 3 4 0 3,16494845360825 1,49624060150376 3,79123711340206 0,65 0,6 0,65 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 4 4 teacher teacher course mother 2 3 0 no yes no no no yes yes yes 4 3 3 1 2 4 4 2,44329896907217 3,00250626566416 3,61082474226804 0,75 0,7 0,75 good satisfactory good
GP F 17 U GT3 T 3 3 at_home other course mother 1 1 0 no yes yes yes yes yes yes no 4 2 5 2 5 5 2 4,16494845360825 3,49624060150376 4,79123711340206 0,55 0,6 0,55 sufficient satisfactory sufficient
GP M 18 U LE3 T 2 2 other other course mother 1 4 0 no yes yes yes yes yes yes no 4 5 5 2 4 5 0 4,16494845360825 1,99498746867168 4,79123711340206 0,55 0,55 0,6 sufficient sufficient satisfactory
GP M 19 R GT3 T 3 2 at_home services home other 1 1 0 no yes no no no yes no yes 5 3 4 2 2 5 0 3,44329896907217 0,99749373433584 4,61082474226804 0,55 0,5 0,5 sufficient fail fail
GP F 18 U GT3 T 2 2 at_home other course mother 4 2 0 no no no yes yes yes no yes 4 2 5 1 1 2 2 3,88659793814433 1,50125313283208 2,47164948453608 0,5 0,45 0,5 fail fail fail
GP F 17 R GT3 T 2 4 at_home other course father 1 3 0 no yes no no yes yes yes yes 4 4 3 1 1 5 0 2,44329896907217 0,49874686716792 4,36082474226804 0,75 0,75 0,75 good good good
GP M 18 U GT3 T 2 2 other other reputation mother 1 1 0 no no no no no yes yes no 5 4 2 1 2 5 6 1,72164948453608 4,00501253132832 4,18041237113402 0,75 0,7 0,75 good satisfactory good
GP F 18 U GT3 T 3 3 services services home mother 1 2 0 no no no yes yes yes yes no 5 3 4 1 1 4 8 3,16494845360825 4,50877192982456 3,79123711340206 0,5 0,55 0,6 fail sufficient satisfactory
GP F 18 U LE3 T 2 2 other other home other 1 2 0 no no no yes no yes yes yes 4 3 3 1 1 2 0 2,44329896907217 0,49874686716792 2,11082474226804 0,5 0,45 0,6 fail fail satisfactory
GP F 18 R GT3 T 2 2 at_home other course mother 2 4 0 no no no yes yes yes no no 4 4 4 1 1 4 6 3,16494845360825 3,5062656641604 3,79123711340206 0,7 0,65 0,7 satisfactory satisfactory satisfactory
GP F 17 U GT3 T 3 4 services other course mother 1 3 0 no no no no yes yes yes no 4 4 5 1 3 5 8 3,88659793814433 5,5062656641604 4,72164948453608 0,55 0,65 0,7 sufficient satisfactory satisfactory
GP F 17 U GT3 T 3 2 other other home mother 1 2 0 no yes no no yes yes yes yes 4 3 2 2 3 2 0 2 1,49624060150376 2 0,6 0,65 0,75 satisfactory satisfactory good
GP F 18 U LE3 T 3 3 services services home mother 1 4 0 no yes no no yes yes yes no 5 3 3 1 1 1 4 2,44329896907217 2,50375939849624 1,36082474226804 0,7 0,7 0,75 satisfactory satisfactory good
GP F 17 R GT3 A 3 2 other other home mother 1 2 0 no yes no no yes yes yes no 4 3 3 2 3 2 0 2,72164948453608 1,49624060150376 2,18041237113402 0,7 0,7 0,8 satisfactory satisfactory good
GP M 18 U GT3 T 4 4 teacher services home father 1 2 0 no yes no yes yes yes yes no 4 3 3 2 2 2 0 2,72164948453608 0,99749373433584 2,18041237113402 0,6 0,6 0,65 satisfactory satisfactory satisfactory
GP M 18 U LE3 T 3 4 services other home mother 1 2 0 no no no yes yes yes yes yes 4 3 3 1 3 5 6 2,44329896907217 4,50375939849624 4,36082474226804 0,8 0,8 0,85 good good good
GP F 17 U GT3 A 2 2 at_home at_home home father 1 2 0 no yes no no yes yes yes yes 3 3 1 1 2 4 18 1 10,0200501253133 3,25 0,5 0,6 0,7 fail satisfactory satisfactory
GP F 18 U GT3 T 2 3 at_home other course mother 1 3 0 no yes no no yes yes yes no 4 3 3 1 2 3 0 2,44329896907217 0,99749373433584 2,86082474226804 0,55 0,6 0,7 sufficient satisfactory satisfactory
GP F 18 U GT3 T 3 2 other services other mother 1 3 0 no no no no yes yes yes yes 5 4 3 2 3 1 4 2,72164948453608 3,50125313283208 1,43041237113402 0,7 0,8 0,85 satisfactory good good
